index,tvBench_id,db_id,question,source,gold,pred
14,1506@y_name@DESC,gas_company,"How many companies that are not headquartered in the United States for each main industry ? Show me a bar chart , and could you display by the total number from high to low ?","<N> How many companies that are not headquartered in the United States for each main industry ? Show me a bar chart , and could you display by the total number from high to low ? </N> <C> mark [T] data company encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> company <COL> main_industry rank headquarters </COL> <VAL> </VAL> </D>",mark bar data company encoding x main_industry y aggregate count main_industry transform filter headquarters != 'usa' group x sort y desc,mark bar data company encoding x headquarters y aggregate count headquarters transform filter main_industry = 'banking' group x sort y desc
26,685@y_name@ASC,company_office,", and order by the y axis in ascending .","<N> , and order by the y axis in ascending . </N> <C> mark [T] data companies encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> companies <COL> id </COL> <VAL> </VAL> </D>",mark bar data companies encoding x industry y aggregate count industry transform group x sort y asc,mark bar data companies encoding x product_name y aggregate count id transform sort x asc bin x by weekday
38,2681@x_name@ASC,riding_club,"Show different occupations along with the number of players in each occupation Show bar chart , show in ascending by the bar .","<N> Show different occupations along with the number of players in each occupation Show bar chart , show in ascending by the bar . </N> <C> mark [T] data player encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> player <COL> occupation rank </COL> <VAL> 4th </VAL> </D>",mark bar data player encoding x occupation y aggregate count occupation transform group x sort x asc,mark bar data player encoding x residence y aggregate count occupation transform group x sort x asc
46,2066@y_name@DESC,loan_1,"Visualize a bar chart for what are the names and account balances of customers with the letter 'a' in their names ? , could you sort from high to low by the y axis ?","<N> Visualize a bar chart for what are the names and account balances of customers with the letter 'a' in their names ? , could you sort from high to low by the y axis ? </N> <C> mark [T] data customer encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> customer <COL> cust_name </COL> <VAL> Mary </VAL> </D>",mark bar data customer encoding x cust_name y aggregate none acc_bal transform filter cust_name like '%a%' sort y desc,mark bar data customer encoding x acc_type y aggregate count acc_type transform filter credit_score < 50 group x sort y desc
50,515@y_name@ASC,college_1,"Return a bar chart on how many departments are in each school ? , and list by the count(DISTINCTdept_name) in ascending .","<N> Return a bar chart on how many departments are in each school ? , and list by the count(DISTINCTdept_name) in ascending . </N> <C> mark [T] data department encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> department <COL> </COL> <VAL> </VAL> </D>",mark bar data department encoding x school_code y aggregate count distinct dept_name transform sort count(distinct dept_name) asc,mark bar data department encoding x school_code y aggregate count distinct dept_name transform sort x asc
58,620,college_2,How many rooms in each building have a capacity of over 50 . Visualize by bar chart .,<N> How many rooms in each building have a capacity of over 50 . Visualize by bar chart . </N> <C> mark [T] data classroom encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> classroom <COL> building capacity room_number </COL> <VAL> 40 Power Main 700 547 180 </VAL> </D>,mark bar data classroom encoding x building y aggregate count building transform filter capacity > 50 group x,mark bar data classroom encoding x building y aggregate count building transform filter capacity > 1850 group x
64,2523@y_name@ASC,party_people,"How many parties of the time they took office , binning the left office into Weekday interval , and then split by the minister's name , and display in ascending by the Y-axis .","<N> How many parties of the time they took office , binning the left office into Weekday interval , and then split by the minister's name , and display in ascending by the Y-axis . </N> <C> mark [T] data party encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> party <COL> took_office left_office minister </COL> <VAL> </VAL> </D>",mark bar data party encoding x left_office y aggregate count left_office color minister transform sort y asc bin x by weekday,mark bar data party encoding x took_office y aggregate count took_office color minister transform sort y asc bin x by weekday
78,627@y_name@DESC,college_2,"Give me a histogram for what are the names and average salaries for departments with average salary higher than 42000 ? , and could you order by the Y-axis from high to low ?","<N> Give me a histogram for what are the names and average salaries for departments with average salary higher than 42000 ? , and could you order by the Y-axis from high to low ? </N> <C> mark [T] data instructor encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> instructor <COL> salary name id </COL> <VAL> Hau Luo Kean Dale </VAL> </D>",mark bar data instructor encoding x dept_name y aggregate mean salary transform group x sort y desc,mark bar data instructor encoding x dept_name y aggregate mean salary transform filter instructor > 85 sort y desc bin x by weekday
82,286,bike_1,Visualize a bar chart for the date and mean humidity for the days with the 3 largest maximum gust speeds .,<N> Visualize a bar chart for the date and mean humidity for the days with the 3 largest maximum gust speeds . </N> <C> mark [T] data weather encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> weather <COL> date mean_humidity precipitation_inches </COL> <VAL> 1.3 </VAL> </D>,mark bar data weather encoding x date y aggregate none mean_humidity transform sort max_gust_speed_mph desc topk 3,mark bar data weather encoding x date y aggregate mean mean_humidity transform sort max_gust_speed_mph desc topk 3 bin x by weekday
92,2844,station_weather,Show me the total number by origin in a histogram,<N> Show me the total number by origin in a histogram </N> <C> mark [T] data train encoding x [X] y aggregate [AggFunction] [Y] color [Z] transform filter [F] group [G] bin [B] sort [S] topk [K] </C> <D> train <COL> origin id name time </COL> <VAL> </VAL> </D>,mark bar data train encoding x origin y aggregate count origin transform group x,mark bar data train encoding x time y aggregate count time transform group x
